,smiles
231,[CH:1]1=[N:2][CH2:3][c:4]2[cH:5][cH:6][cH:7][cH:8][c:9]2[O:10]1
232,[O:1]=[C:2]1[CH:3]=[CH:4][NH:5][CH2:6][CH:7][CH2:8]1
233,[OH:1][C@@H:2]1[C:3]=[CH:4][CH2:5][CH2:6][CH:7]=[CH:8][CH2:9]1
234,[CH3:10][CH2:11][CH2:12][C@@:13]1([CH2:14][OH:15])[CH:16][CH2:17][C:18]1=[O:19]
235,[CH3:1][O:2][C@:3]12[CH2:4][CH2:5][C@H:6]([CH2:7][C:8]1=[O:9])[CH:10]2
236,[CH3:1][NH:2][C:3](=[O:4])[CH2:5][CH:6][CH2:7][OH:8]
237,[CH3:1]/[CH:2]=[C:3]1/[C@@H:4]([C:5](=[O:6])[O:7][CH3:8])[C@H:9]1[CH3:10]
238,[CH3:11][c:12]1[cH:13][n:14]2[cH:15][n:16][c:17]([NH2:18])[c:19]2[o:20]1
239,[CH3:1][CH2:2][CH2:3][N:4]([N:5]=[O:6])[C:7]([CH3:8])=[O:9]
240,[CH2:1]=[C:2]1[C@H:3]2[CH2:4][CH:5][CH2:6][CH2:7][C@@H:8]12
241,[CH3:11][O:12][N:13]1[CH2:14][CH2:15][N:16][CH2:17][CH2:18]1
242,[CH3:10][CH2:11][NH:12][CH2:13][c:14]1[cH:15][cH:16][cH:17][nH:18]1
243,[CH3:1][CH2:2][CH2:3][O:4][CH2:5][C:6]#[C:7][CH2:8][OH:9]
244,[CH3:10][CH2:11][C@H:12]([NH2:13])[O:14][CH2:15][CH2:16][N:17]([CH3:18])[CH3:19]
245,[CH3:11][C:12]([CH3:13])[C@:14]([CH3:15])([OH:16])[CH2:17][C:18](=[O:19])[OH:20]
